                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.1869,                 0.9183,                 1.2441,                0.63392,                0.56898,                0.62421,                 0.4207,                 1.2946,                0.80153,                 1.3376,             0.00061887,             0.00061887,             0.00061887
                     54,                 1.1702,                0.90143,                 1.2423,                0.64022,                0.56682,                0.62826,                0.42445,                 1.2981,                0.78593,                 1.3312,              0.0006065,              0.0006065,              0.0006065
                     55,                  1.186,                0.90909,                 1.2452,                0.61205,                 0.5946,                 0.6253,                0.42725,                  1.287,                0.79077,                 1.3306,             0.00059413,             0.00059413,             0.00059413
                     56,                 1.1674,                0.88631,                 1.2361,                0.62794,                0.58251,                0.63066,                0.42791,                 1.2958,                0.78414,                  1.328,             0.00058175,             0.00058175,             0.00058175
                     57,                 1.1645,                0.89884,                 1.2396,                0.72488,                0.62727,                0.65788,                0.44293,                 1.2924,                0.78137,                 1.3338,             0.00056938,             0.00056938,             0.00056938
                     58,                 1.1745,                0.88969,                  1.239,                0.64614,                0.57342,                0.63413,                0.42796,                 1.3058,                0.78146,                 1.3341,               0.000557,               0.000557,               0.000557
                     59,                 1.1743,                 0.8982,                  1.237,                 0.6371,                0.57458,                0.63047,                0.42998,                   1.29,                0.77776,                 1.3351,             0.00054463,             0.00054463,             0.00054463
                     60,                 1.1602,                0.88195,                 1.2333,                0.63154,                 0.5817,                0.63042,                0.43075,                 1.2968,                0.78139,                 1.3344,             0.00053225,             0.00053225,             0.00053225
                     61,                 1.1495,                0.86849,                 1.2218,                0.63303,                0.58759,                0.63343,                0.43324,                 1.2979,                0.76729,                 1.3358,             0.00051988,             0.00051988,             0.00051988
                     62,                 1.1551,                0.86761,                 1.2265,                 0.6386,                0.58689,                0.63994,                 0.4374,                 1.2823,                0.75738,                 1.3186,              0.0005075,              0.0005075,              0.0005075
                     63,                 1.1454,                0.85945,                 1.2241,                0.88752,                0.58341,                0.63198,                0.43197,                 1.2935,                0.76992,                 1.3243,             0.00049513,             0.00049513,             0.00049513
                     64,                 1.1444,                0.85908,                 1.2244,                0.62587,                0.59261,                0.63813,                0.43663,                 1.2864,                0.76269,                 1.3247,             0.00048275,             0.00048275,             0.00048275
                     65,                 1.1492,                0.85626,                 1.2243,                0.63887,                0.58878,                0.63651,                0.43805,                 1.2798,                0.76154,                 1.3237,             0.00047038,             0.00047038,             0.00047038
                     66,                 1.1448,                0.84971,                 1.2159,                0.89668,                0.57187,                0.63101,                0.43051,                 1.2947,                0.76838,                  1.335,               0.000458,               0.000458,               0.000458
